time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2017-08-13T08:52:26.000,60.385390,5.217217,61.9,7.0,219.93,0.94605947,0,gps,1.02,0.85,1.33,,,,,100.0,
2017-08-13T08:53:00.000,60.385588,5.217857,56.2,11.1,0.0,0.0,0,gps,2.22,0.94,2.41,,,,TILTING,100.0,
2017-08-13T08:53:57.000,60.385398,5.216950,56.1,10.5,0.0,0.0,0,gps,1.42,0.93,1.69,,,,,100.0,
2017-08-13T08:55:55.000,60.383428,5.219823,57.0,5.8,143.5,4.989717,0,gps,0.83,0.79,1.14,,,,,100.0,
2017-08-13T08:57:57.000,60.376988,5.227082,105.5,5.2,159.61,9.415813,0,gps,0.64,0.76,1.00,,,,,100.0,
2017-08-13T09:00:06.000,60.370383,5.232050,49.7,18.6,115.63,14.8008375,0,gps,99.99,99.99,99.99,,,,,100.0,
2017-08-13T09:02:07.000,60.359813,5.237472,40.2,13.6,123.8,2.6055238,0,gps,1.18,0.88,1.47,,,,TILTING,100.0,
2017-08-13T09:04:11.000,60.361153,5.243403,70.4,6.0,25.56,5.236784,0,gps,0.84,0.82,1.17,,,,ON_BICYCLE,100.0,
2017-08-13T09:06:11.000,60.367743,5.249715,53.7,11.2,340.86,4.8723607,0,gps,1.26,0.94,1.57,,,,ON_BICYCLE,100.0,
2017-08-13T09:08:13.000,60.376095,5.257007,135.7,11.2,26.15,6.4489546,0,gps,1.45,0.94,1.73,,,,ON_BICYCLE,100.0,
2017-08-13T09:10:14.000,60.383280,5.270283,16.2,17.5,54.16,0.52398723,0,gps,1.25,0.92,1.55,,,,,100.0,
2017-08-13T09:12:16.000,60.388325,5.276237,27.3,9.8,7.86,4.4997015,0,gps,1.33,0.93,1.62,,,,ON_BICYCLE,100.0,
2017-08-13T09:14:17.000,60.388958,5.290662,21.0,13.6,75.62,10.138484,0,gps,1.23,0.91,1.53,,,,ON_BICYCLE,100.0,
2017-08-13T09:16:19.000,60.384627,5.304172,22.9,14.4,139.4,4.152779,0,gps,1.00,0.90,1.35,,,,ON_BICYCLE,100.0,
2017-08-13T09:16:51.000,60.384463,5.304338,0.2,23.6,176.14,1.1781992,0,gps,1.72,0.97,1.97,,,,,100.0,
2017-08-13T09:17:28.000,60.384628,5.304407,31.2,17.4,196.83,0.82612914,0,gps,99.99,99.99,99.99,,,,,100.0,
2017-08-13T09:18:01.000,60.384532,5.304157,4.3,10.8,138.37,1.0973878,0,gps,0.98,0.90,1.33,,,,,100.0,
2017-08-13T09:19:06.000,60.384425,5.303945,16.8,8.6,87.74,1.6604939,0,gps,1.30,0.93,1.60,,,,,100.0,
2017-08-13T09:20:21.000,60.383105,5.309632,-18.9,14.6,75.51,8.902121,0,gps,1.33,0.91,1.61,,,,TILTING,100.0,